name,brand,source_url,type,origin,km_driven,external_color,seats,engine_capacity,fuels,transmission,wheel_drive,price,year
Ford Laser,,https://www.sanxehot.vn/mua-ban-xe/ford-laser-16mt-2003-25516.html,Sedan,Lắp ráp trong nước,115000,Bạc,,1.6,Xăng,Số sàn,,225000000,2003
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-mt-2008-25515.html,Sedan,Lắp ráp trong nước,11000,Trắng,,1.8,Xăng,Số sàn,,345000000,2008
Toyota Camry,,https://www.sanxehot.vn/mua-ban-xe/toyota-camry-g-24at-2011-25513.html,Sedan,Lắp ráp trong nước,60000,Đen,,2.4,Xăng,Tự động,,815000000,2011
Ford Fiesta,,https://www.sanxehot.vn/mua-ban-xe/ford-fiesta-16at-2011-25512.html,Hatchback,Lắp ráp trong nước,80450,Xanh lá,,1.6,Xăng,Tự động,,375000000,2011
Hyundai Getz,,https://www.sanxehot.vn/mua-ban-xe/hyundai-getz-11mt-2010-25511.html,Hatchback,Nhập khẩu,75891,Bạc,,1.1,Xăng,Số sàn,,325000000,2010
Mercedes-Benz S-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-s-class-s400-30at-2015-25509.html,Sedan,Nhập khẩu,13000,Đen,,3.0,Xăng,Tự động,,3550000000,2015
KIA Sedona,,https://www.sanxehot.vn/mua-ban-xe/kia-sedona-33at-2016-25508.html,7 chỗ đa dụng,Lắp ráp trong nước,3000,Đen,,3.3,Xăng,Tự động,,1220000000,2016
Lexus GX,,https://www.sanxehot.vn/mua-ban-xe/lexus-gx350-35at-2009-25506.html,SUV 5 chỗ,Nhập khẩu,64360,Trắng,,3.5,Xăng,Tự động,,1850000000,2009
Hyundai Santafe,,https://www.sanxehot.vn/mua-ban-xe/hyundai-santafe-slx-2008-25499.html,SUV 7 chỗ,Nhập khẩu,50000,Đen,,2.0,Diesel,Tự động,,700000000,2008
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-125at-2016-25497.html,Hatchback,Lắp ráp trong nước,8000,Đỏ,,1.25,Xăng,Tự động,,405000000,2016
Hyundai Avante,,https://www.sanxehot.vn/mua-ban-xe/hyundai-avante-16at-2011-25496.html,Sedan,Lắp ráp trong nước,50000,Ghi xám,,1.6,Xăng,Tự động,,429000000,2011
Toyota Altis,,https://www.sanxehot.vn/mua-ban-xe/toyota-corolla-altis-18at-2014-25495.html,Sedan,Lắp ráp trong nước,40000,Đen,,1.8,Xăng,Tự động,,710000000,2014
Mitsubishi Zinger,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-zinger-24mt-2010-25493.html,7 chỗ đa dụng,Lắp ráp trong nước,44000,Bạc,,2.4,Xăng,Số sàn,,355000000,2010
Mitsubishi Jolie,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-jolie-20mt-2006-25489.html,SUV 7 chỗ,Lắp ráp trong nước,120000,Vàng cát,,2.0,Xăng,Số sàn,,188000000,2006
Mitsubishi Mirage,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-mirage-12at-2014-25487.html,Hatchback,Lắp ráp trong nước,23000,Trắng,,1.2,Xăng,Tự động,,430000000,2014
Mitsubishi Jolie,,https://www.sanxehot.vn/mua-ban-xe/mitsubishi-jolie-20mt-2005-25485.html,SUV 7 chỗ,Lắp ráp trong nước,110000,Đen,,2.0,Xăng,Số sàn,,253000000,2005
Ford Mondeo,,https://www.sanxehot.vn/mua-ban-xe/ford-mondeo-25at-2004-25484.html,Sedan,Lắp ráp trong nước,70000,Vàng cát,,2.5,Xăng,Tự động,,245000000,2004
Ford EcoSport,,https://www.sanxehot.vn/mua-ban-xe/ford-ecosport-15at-2015-25483.html,SUV 5 chỗ,Lắp ráp trong nước,13000,Trắng,,1.5,Xăng,Tự động,,560000000,2015
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-32at-2015-25481.html,Bán tải,Nhập khẩu,55000,Trắng,,3.2,Diesel,Tự động,,675000000,2015
Ford EcoSport,,https://www.sanxehot.vn/mua-ban-xe/ford-ecosport-15at-2015-25480.html,SUV 5 chỗ,Lắp ráp trong nước,1170,Nâu,,1.5,Xăng,Tự động,,595000000,2015
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-xls-mt-2016-25479.html,Bán tải,Nhập khẩu,30000,Trắng,,,Diesel,Số sàn,,585000000,2016
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2009-25478.html,SUV 7 chỗ,Lắp ráp trong nước,75000,Bạc,,2.5,Diesel,Số sàn,,475000000,2009
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2005-25477.html,SUV 7 chỗ,Lắp ráp trong nước,125000,Bạc,,2.5,Diesel,Số sàn,,308000000,2005
Ford Focus,,https://www.sanxehot.vn/mua-ban-xe/ford-focus-18at-2012-25476.html,Hatchback,Lắp ráp trong nước,59000,Vàng cát,,1.8,Xăng,Tự động,,438000000,2012
Ford Escape,,https://www.sanxehot.vn/mua-ban-xe/ford-escape-23at-2005-25475.html,SUV 5 chỗ,Lắp ráp trong nước,92000,Đen,,2.3,Xăng,Tự động,,335000000,2005
